id,name,country_id,age,position,speed,passing,shooting,defending,physical,dribbling
0223,Jayden Adams,2,25,CM,71,73,65,68,70,72
0224,Olwethu Makhanya,2,22,CB,67,55,38,72,74,56
0225,Kamogelo Sebelebele,2,24,CAM,76,70,66,45,61,74
0226,Bradley Cross,2,26,LB,72,67,51,70,73,66
0302,Lee Han-Beom,3,24,CB,69,63,40,75,77,58
0303,Lee Gi-Hyuk,3,25,CB,68,72,55,73,71,69
0304,Kim Min-JAe,3,29,CB,80,70,49,87,86,65
0305,Kim Tae-Hyeon,3,25,CB,71,61,42,74,76,59
0306,Hwang In-Beom,3,29,CM,73,81,73,70,72,78
0307,Son Heung-Min,3,33,LW,87,82,88,42,70,84
0308,Paik Seung-Ho,3,29,CM,70,75,71,71,73,73
0309,Cho Gue-Sung,3,28,ST,71,64,77,41,81,69
0310,Lee Jae-Sung,3,33,CAM,69,77,72,62,68,76
0311,Hwang Hee-Chan,3,30,RW,84,72,78,48,79,81
0313,Lee Tae-Seok,3,23,LB,77,70,51,71,68,72
0314,Cho Wi-Je,3,24,CB,66,58,38,73,75,55
0315,Kim Moon-Hwan,3,30,RB,79,68,54,72,71,70
0316,Park Jin-Seop,3,30,CDM,64,72,61,76,79,66
0317,Bae Jun-Ho,3,22,CAM,75,74,68,44,62,78
0318,Oh Hyeon-Gyu,3,25,ST,76,61,74,38,79,71
0319,Lee Kang-In,3,25,RW,76,85,77,49,63,86
0320,Yang Hyun-Jun,3,24,RW,80,69,67,38,63,77
0322,Seol Young-Woo,3,27,RB,78,71,52,74,72,73
0323,Jens Castrop,3,22,CM,74,72,66,70,75,73
0324,Kim Jin-Gyu,3,29,CM,68,73,66,67,69,70
0325,Eom Ji-Sung,3,24,LW,79,71,70,41,60,76
0326,Lee Dong-Gyeong,3,28,CAM,72,75,74,45,65,75
0402,David Zima,4,25,CB,71,62,40,76,77,59
0403,Tomáš Holeš,4,33,CB,68,69,54,79,81,64
0404,Robin Hranáč,4,26,CB,73,63,42,78,80,61
0405,Vladimír Coufal,4,33,RB,75,74,52,77,79,70
0406,Štěpán Chaloupek,4,23,CB,67,58,38,74,76,55
0407,Ladislav Krejčí,4,27,CB,68,73,68,81,84,69
0408,Vladimír Darida,4,35,CM,66,76,71,68,70,73
0409,Adam Hložek,4,23,LW,81,73,77,38,76,79
0410,Patrik Schick,4,30,ST,76,72,83,36,78,79
0411,Jan Kuchta,4,29,ST,74,64,76,41,77,69
0412,Lukáš Červ,4,25,CDM,71,72,63,74,75,69
0413,Mojmír Chytil,4,27,ST,75,63,75,39,78,71
0414,David Jurásek,4,25,LB,80,72,61,72,74,73
0415,Pavel Šulc,4,25,CAM,78,74,73,48,66,77
0417,Lukáš Provod,4,29,CM,75,77,72,66,76,75
0418,Michal Sadílek,4,27,CM,72,75,67,73,74,71
0419,Tomáš Chorý,4,31,ST,56,60,74,42,85,62
0420,Jaroslav Zelený,4,33,LB,70,69,53,73,72,67
0421,David Douděra,4,28,RM,82,71,64,68,73,74
0422,Tomáš Souček,4,31,CDM,64,74,76,81,86,70
0424,Alexandr Sojka,4,23,CM,69,68,61,65,68,67
0425,Hugo Sochůrek,4,20,CM,68,67,58,63,64,66
0426,Denis Višinský,4,23,RW,79,69,67,36,60,74
0502,Alistair Johnston,5,27,RB,76,71,50,77,80,72
0503,Luc de Fougerolles,5,20,CB,70,62,41,71,69,63
0504,Alfie Jones,5,28,CB,69,65,44,74,76,61
0505,Joel Waterman,5,30,CB,66,68,48,73,75,64
0506,Mathieu Choinière,5,27,CM,74,74,66,71,73,73
0507,Stephen Eustáquio,5,29,CDM,70,79,68,77,75,75
0508,Ismaël Koné,5,24,CM,76,76,69,70,76,78
0509,Cyle Larin,5,31,ST,74,65,78,38,81,72
0510,Jonathan David,5,26,ST,85,76,83,41,76,82
0511,Liam Millar,5,26,LW,82,71,69,45,65,79
0512,Tani Oluwaseyi,5,26,ST,79,62,73,35,77,70
0513,Derek Cornelius,5,28,CB,68,61,40,75,81,59
0514,Jacob Shaffelburg,5,26,LW,86,70,68,52,70,76
0515,Moïse Bombito,5,26,CB,83,64,43,77,80,65
0517,Tajon Buchanan,5,27,RW,85,71,69,54,72,80
0519,Alphonso Davies,5,25,LB,95,78,69,76,78,86
0520,Ali Ahmed,5,25,RM,79,70,61,65,63,75
0521,Jonathan Osorio,5,34,CM,65,75,69,67,68,73
0522,Richie Laryea,5,31,RB,81,70,62,72,74,74
0523,Niko Sigur,5,22,RB,75,72,58,71,71,73
0524,Promise David,5,24,ST,72,57,71,33,83,66
0525,Nathan Saliba,5,22,CM,71,71,62,68,69,71
0526,Jayden Nelson,5,23,LW,78,67,65,42,58,75
0602,Nihad Mujakic,6,28,CB,72,60,42,74,77,61
0603,Dennis Hadzikadunic,6,27,CB,68,61,40,76,78,58
0604,Tarik Muharemovic,6,23,CB,71,63,44,75,76,60
0605,Sead Kolasinac,6,32,LB,73,74,62,77,84,72
0606,Benjamin Tahirovic,6,23,CDM,70,74,64,73,75,72
0607,Amar Dedic,6,23,RB,84,75,61,76,74,78
0608,Armin Gigovic,6,24,CM,71,73,65,71,74,72
0609,Samed Bazdar,6,22,ST,77,68,74,38,72,75
0610,Ermedin Demirovic,6,28,ST,75,71,79,45,79,75
0611,Edin Dzeko,6,40,ST,58,72,81,35,76,68
0613,Ivan Basic,6,24,CM,72,75,70,66,68,73
0614,Ivan Sunjic,6,29,CDM,66,71,60,75,80,67
0615,Amar Memic,6,25,RM,81,68,65,48,67,73
0616,Amir Hadziahmetovic,6,29,CM,69,77,71,72,74,74
0617,Dzenis Burnic,6,28,CM,71,73,67,69,72,72
0618,Nikola Katic,6,29,CB,65,58,41,75,83,56
0619,Kerim Alajbegovic,6,18,LW,79,70,72,34,58,78
0620,Esmir Bajraktarevic,6,21,RW,83,72,70,36,61,81
0621,Stjepan Radeljic,6,28,CB,64,55,38,74,80,52
0623,Haris Tabakovic,6,31,ST,60,63,76,37,82,65
0624,Nidal Celik,6,20,CB,68,56,35,72,74,54
0625,Jovo Lukic,6,27,ST,73,61,72,40,79,67
0626,Ermin Mahmic,6,21,LM,76,69,63,52,65,72
0702,Miro Muheim,7,28,LB,75,72,58,72,74,71
0703,Silvan Widmer,7,33,RB,74,73,61,75,76,72
0704,Nico Elvedi,7,29,CB,70,68,39,81,77,63
0705,Manuel Akanji,7,30,CB,80,74,48,85,84,68
0706,Denis Zakaria,7,29,CDM,75,76,64,80,84,77
0707,Breel Embolo,7,29,ST,81,68,79,38,84,77
0708,Remo Freuler,7,34,CM,68,77,69,76,76,73
0709,Johan Manzambi,7,20,CM,74,71,66,61,68,73
0710,Granit Xhaka,7,33,CDM,55,86,77,80,81,74
0711,Dan Ndoye,7,25,RW,86,71,73,44,75,80
0713,Ricardo Rodriguez,7,33,LB,64,79,68,76,71,73
0714,Ardon Jashari,7,23,CDM,68,74,62,72,74,71
0715,Djibril Sow,7,29,CM,73,75,68,72,73,75
0716,Christian Fassnacht,7,32,RM,74,72,72,56,73,72
0717,Ruben Vargas,7,27,LW,83,73,74,43,62,81
0718,Eray Comert,7,28,CB,68,64,44,75,76,61
0719,Cedric Itten,7,29,ST,65,62,75,38,79,66
0720,Luca Jaquez,7,23,CB,69,58,35,72,73,56
0722,Fabian Rieder,7,24,CAM,73,78,72,60,67,76
0723,Zeki Amdouni,7,25,ST,77,72,78,40,71,78
0724,Aurele Amenda,7,22,CB,67,59,36,73,78,55
0725,Michel Aebischer,7,29,CM,71,75,69,70,72,72
0726,Noah Okafor,7,26,LW,84,70,75,37,76,80
0802,Pedro Miguel,8,35,RB,73,68,54,72,75,70
0803,Lucas Mendes,8,35,CB,61,65,49,76,77,60
0804,Issa Laye,8,28,CB,68,59,38,73,74,56
0805,Jassem Gaber,8,24,CB,70,66,51,74,75,65
0806,Abdulaziz Hatem,8,36,CM,65,75,71,68,70,72
0807,Ahmed Alaaeldin,8,33,ST,74,61,72,35,73,69
0808,Edmilson Junior,8,31,LW,84,75,74,36,66,83
0809,Mohammed Muntari,8,32,ST,69,60,75,41,80,66
0810,Hassan Al-Haydos,8,35,CAM,71,81,76,46,64,79
0811,Akram Afif,8,29,LW,83,82,80,40,68,85
0812,Karim Boudiaf,8,35,CDM,60,74,65,75,78,69
0813,Ayoub Al-Oui,8,21,CB,69,57,36,70,71,58
0814,Homam Ahmed,8,26,LB,78,71,58,70,72,71
0815,Yusuf Abdurisag,8,26,RW,81,67,69,42,67,74
0816,Boualem Khoukhi,8,35,CB,63,72,66,77,78,65
0817,Ahmed Al-Ganehi,8,25,RW,79,68,66,39,63,75
0818,Sultan Al-Brake,8,30,LB,75,69,51,69,70,71
0819,Almoez Ali,8,29,ST,82,68,81,38,75,76
0820,Ahmed Fathy,8,33,CDM,62,71,57,74,76,66
0823,Assim Madibo,8,29,CDM,64,68,52,73,75,65
0824,Tahsin Jamshid,8,19,LW,78,65,64,31,56,76
0825,Al-Hashmi Al-Hussain,8,22,CB,67,58,35,71,72,55
0826,Mohamed Manai,8,23,CAM,73,71,68,48,64,74
0902,Ederson Silva,9,26,CM,76,78,70,72,77,76
0903,Gabriel Magalhaes,9,28,CB,71,65,45,86,85,62
0904,Marquinhos,9,32,CB,76,75,53,87,80,69
0905,Casemiro,9,34,CDM,61,75,73,83,84,71
0906,Alex Sandro,9,35,LB,70,74,65,76,73,75
0907,Vinicius Junior,9,25,LW,95,78,84,34,68,91
0908,Bruno Guimaraes,9,28,CM,74,84,72,80,81,81
0909,Matheus Cunha,9,27,ST,81,75,79,45,77,82
0910,Neymar,9,34,CAM,73,85,83,37,59,88
0911,Raphinha,9,29,RW,88,81,81,50,73,86
0913,Danilo Luiz,9,34,RB,72,75,67,79,78,74
0914,Bremer,9,29,CB,77,62,48,85,84,64
0915,Leo Pereira,9,30,CB,70,68,52,78,77,63
0916,Douglas Santos,9,32,LB,76,74,61,75,72,74
0917,Fabinho,9,32,CDM,64,74,62,80,78,69
0918,Danilo Santos,9,25,CDM,74,72,64,76,78,73
0919,Endrick,9,19,ST,86,68,80,35,78,81
0920,Lucas Paqueta,9,28,CAM,74,81,78,71,78,82
0921,Luiz Henrique,9,25,RW,85,71,74,42,75,83
0922,Gabriel Martinelli,9,24,LW,89,73,78,45,71,85
0924,Roger Ibanez,9,27,CB,78,63,45,80,81,65
0925,Igor Thiago,9,24,ST,78,61,76,38,82,71
0926,Rayan,9,19,ST,82,66,73,33,70,77
1002,Achraf Hakimi,10,27,RB,92,80,75,76,78,84
1003,Noussair Mazraoui,10,28,LB,79,78,66,77,73,81
1004,Sofyan Amrabat,10,29,CDM,68,76,64,80,84,73
1005,Marwane Saadane,10,34,CB,63,68,54,73,74,61
1006,Ayyoub Bouaddi,10,18,CM,72,74,61,66,68,73
1007,Chemsdine Talbi,10,21,RM,80,70,65,42,59,75
1008,Azzedine Ounahi,10,26,CM,74,80,71,68,64,83
1009,Soufiane Rahimi,10,30,ST,82,72,78,41,76,79
1010,Brahim Diaz,10,26,CAM,85,81,80,44,66,86
1011,Ismael Saibari,10,25,CAM,76,75,73,58,77,80
1013,Zakaria El Ouahdi,10,24,RB,81,70,58,71,70,74
1014,Issa Diop,10,29,CB,69,62,43,77,81,60
1015,Samir El Mourabet,10,20,CM,71,70,62,64,66,72
1016,Gessime Yassine,10,20,RW,79,69,66,35,58,74
1017,Amine Sbai,10,25,LW,80,71,72,38,62,77
1018,Chadi Riad,10,22,CB,71,64,41,76,78,62
1019,Youssef Belammari,10,27,LB,74,71,56,71,70,72
1020,Ayoub El Kaabi,10,32,ST,78,65,81,40,77,73
1021,Ayoube Amaimouni,10,21,ST,75,60,70,33,72,69
1023,Bilal El Khannouss,10,22,CAM,75,79,70,52,65,81
1024,Neil El Aynaoui,10,24,CM,72,74,68,71,74,74
1025,Redouane Halhal,10,23,CB,66,57,35,70,71,54
1026,Anass Salah-Eddine,10,24,LB,75,72,60,71,69,73
1102,Carlens Arcus,11,29,RB,74,68,52,70,72,69
1103,Keeto Thermoncy,11,20,CB,68,55,34,65,68,53
1104,Ricardo Ade,11,36,CB,60,58,41,74,78,55
1105,Hannes Delcroix,11,27,CB,70,66,45,74,73,65
1106,Carl Sainte,11,23,CDM,66,65,54,67,71,63
1107,Derrick Etienne Jr.,11,29,LW,78,71,68,43,65,76
1108,Martin Experience,11,27,LB,71,64,48,65,66,67
1109,Duckens Nazon,11,32,ST,74,63,75,38,78,72
1110,Jean-Ricner Bellegarde,11,27,CM,77,76,68,70,72,79
1111,Louicius Deedson,11,25,RW,80,68,70,41,64,75
1113,Duke Lacroix,11,32,LB,73,66,51,66,68,67
1114,Garven Metusala,11,26,CB,65,56,38,69,72,54
1115,Ruben Providence,11,24,LW,79,67,68,36,60,74
1116,Lenny Joseph,11,25,ST,78,62,69,35,68,71
1117,Danley Jean Jacques,11,26,CDM,70,69,58,72,75,68
1118,Wilson Isidor,11,25,ST,82,66,74,38,71,76
1119,Yassin Fortune,11,27,RW,76,68,67,37,63,73
1120,Frantzdy Pierrot,11,31,ST,68,58,76,42,83,64
1121,Josue Casimir,11,24,RW,81,67,66,40,65,75
1122,Jean-Kevin Duverne,11,28,CB,73,64,46,73,74,65
1124,Wilguens Paugain,11,24,CB,67,58,36,68,70,56
1125,Dominique Simon,11,25,CM,68,68,60,65,67,66
1126,Woodensky Pierre,11,21,CM,65,64,57,61,62,64
1202,Aaron Hickey,12,24,RB,78,72,56,75,72,76
1203,Andy Robertson,12,32,LB,80,82,62,79,75,80
1204,Scott McTominay,12,29,CM,71,76,77,76,84,75
1205,Grant Hanley,12,34,CB,58,56,41,75,81,51
1206,Kieran Tierney,12,29,CB,76,75,58,77,76,74
1207,John McGinn,12,31,CM,69,79,76,74,83,78
1208,Tyler Fletcher,12,19,CM,72,70,61,64,66,71
1209,Lyndon Dykes,12,30,ST,68,59,73,42,82,64
1210,Che Adams,12,29,ST,77,66,76,38,79,73
1211,Ryan Christie,12,31,CAM,75,77,73,58,69,76
1213,Jack Hendry,12,31,CB,71,64,43,75,77,61
1214,Ross Stewart,12,29,ST,71,61,74,37,79,66
1215,John Souttar,12,29,CB,66,68,48,76,78,63
1216,Dominic Hyam,12,30,CB,64,61,39,73,75,56
1217,Ben Gannon-Doak,12,20,RW,86,68,70,35,61,81
1218,George Hirst,12,27,ST,72,60,72,36,78,68
1219,Lewis Ferguson,12,26,CM,72,77,74,72,75,76
1220,Lawrence Shankland,12,30,ST,66,63,77,35,76,68
1222,Nathan Patterson,12,24,RB,79,70,53,72,73,72
1223,Kenny McLean,12,34,CM,64,74,69,71,73,71
1224,Anthony Ralston,12,27,RB,73,67,54,71,76,67
1225,Findlay Curtis,12,20,CAM,74,68,66,45,61,71
1226,Scott McKenna,12,29,CB,61,58,40,75,82,53
1302,Sergino Dest,13,25,RB,84,75,66,69,67,82
1303,Chris Richards,13,26,CB,73,66,45,78,79,64
1304,Tyler Adams,13,27,CDM,74,74,58,80,81,73
1305,Antonee Robinson,13,28,LB,86,74,55,77,78,78
1306,Auston Trusty,13,27,CB,73,60,42,74,79,61
1307,Giovanni Reyna,13,23,CAM,74,80,75,41,63,82
1308,Weston McKennie,13,27,CM,74,77,73,76,81,78
1309,Ricardo Pepi,13,23,ST,75,63,77,36,73,73
1310,Christian Pulisic,13,27,LW,88,78,80,43,65,86
1311,Brenden Aaronson,13,25,CAM,80,74,68,54,64,77
1312,Miles Robinson,13,29,CB,75,59,38,76,80,62
1313,Tim Ream,13,38,CB,50,71,46,78,71,62
1314,Sebastian Berhalter,13,25,CDM,68,70,61,66,68,67
1315,Cristian Roldan,13,31,CM,72,73,67,69,74,73
1316,Alex Freeman,13,21,RB,76,62,48,64,68,66
1317,Malik Tillman,13,24,CAM,73,77,76,51,73,80
1318,Max Arfsten,13,25,LB,75,68,63,65,67,71
1319,Haji Wright,13,28,ST,79,66,76,39,81,73
1320,Folarin Balogun,13,24,ST,83,67,79,35,74,79
1321,Timothy Weah,13,26,RW,86,72,73,52,73,78
1322,Mark McKenzie,13,27,CB,72,63,41,74,76,61
1323,Joe Scally,13,23,RB,76,70,54,74,73,73
1326,Alejandro Zendejas,13,28,RW,79,72,73,48,66,77
1402,Zeki Celik,14,29,RB,74,72,55,77,76,73
1403,Merih Demiral,14,28,CB,68,58,45,82,84,59
1404,Caglar Soyuncu,14,30,CB,66,61,48,79,80,62
1405,Salih Ozcan,14,28,CDM,65,73,56,77,80,71
1406,Orkun Kokcu,14,25,CM,71,82,78,68,73,79
1407,Kerem Akturkoglu,14,27,LW,86,74,76,40,64,81
1408,Arda Guler,14,21,CAM,78,83,80,52,62,85
1409,Deniz Gul,14,21,ST,74,61,72,35,76,68
1410,Hakan Calhanoglu,14,32,CM,68,86,81,72,69,80
1411,Kenan Yildiz,14,21,LW,84,74,75,41,68,83
1413,Eren Elmali,14,25,LB,76,68,51,73,74,71
1414,Abdulkerim Bardakci,14,31,CB,60,69,54,80,83,64
1415,Ozan Kabak,14,26,CB,67,62,46,77,81,62
1416,Ismail Yuksek,14,27,CDM,71,72,60,78,79,73
1417,Irfan Can Kahveci,14,30,RW,72,81,78,58,68,80
1418,Mert Muldur,14,27,RB,77,71,58,74,72,74
1419,Yunus Akgun,14,26,RW,80,73,70,44,61,79
1420,Ferdi Kadioglu,14,26,LB,82,78,69,76,73,81
1421,Baris Alper Yilmaz,14,26,RW,88,71,74,62,82,78
1422,Kaan Ayhan,14,31,CB,58,72,62,76,77,66
1424,Oguz Aydin,14,25,RW,81,69,71,41,67,75
1425,Samet Akaydin,14,32,CB,55,54,38,74,79,51
1426,Can Uzun,14,20,CAM,73,72,74,38,63,77
1502,Milos Degenek,15,32,CB,63,61,44,72,76,58
1503,Alessandro Circati,15,22,CB,68,62,38,73,74,60
1504,Jacob Italiano,15,24,RB,79,68,58,66,65,72
1505,Jordan Bos,15,23,LB,82,71,61,70,72,74
1506,Jason Geria,15,33,RB,68,63,48,70,75,64
1507,Mathew Leckie,15,35,RW,70,70,71,56,73,71
1508,Connor Metcalfe,15,26,CM,71,72,67,68,72,71
1509,Mohamed Toure,15,22,ST,78,56,68,31,73,68
1510,Ajdin Hrustic,15,29,CAM,68,77,73,51,64,75
1511,Awer Mabil,15,30,LW,80,69,69,38,61,74
1513,Aiden O'Neill,15,27,CDM,66,71,62,72,76,68
1514,Cammy Devlin,15,27,CDM,64,68,57,71,74,66
1515,Kai Trewin,15,25,CB,64,60,40,67,70,57
1516,Aziz Behich,15,35,LB,71,71,60,70,71,71
1517,Nestory Irankunda,15,20,RW,91,65,74,32,69,79
1519,Harry Souttar,15,27,CB,55,62,45,76,85,52
1520,Cristian Volpato,15,22,CAM,74,73,69,42,61,76
1521,Cameron Burgess,15,30,CB,58,59,41,74,80,54
1522,Jackson Irvine,15,33,CM,66,73,70,73,81,71
1523,Nishan Velupillay,15,25,LW,78,65,66,36,63,72
1524,Paul Okon-Engstler,15,21,CDM,65,67,54,65,66,66
1525,Lucas Herrington,15,19,CB,64,54,33,63,65,51
1526,Tete Yengi,15,25,ST,71,58,69,34,78,66
1602,Gustavo Velazquez,16,35,RB,65,63,48,76,79,62
1603,Omar Alderete,16,29,CB,68,66,54,79,81,64
1604,Juan Jose Caceres,16,26,RB,74,65,51,71,73,69
1605,Fabian Balbuena,16,34,CB,56,58,44,77,80,55
1606,Junior Alonso,16,33,CB,66,70,52,76,78,66
1607,Ramon Sosa,16,26,LW,86,71,74,38,72,80
1608,Diego Gomez,16,23,CM,73,74,72,71,78,75
1609,Antonio Sanabria,16,30,ST,73,66,77,36,70,76
1610,Miguel Almiron,16,32,RW,85,76,74,52,66,80
1611,Mauricio,16,24,CAM,74,75,70,48,65,76
1613,Jose Canale,16,29,CB,62,56,38,72,75,54
1614,Andres Cubas,16,30,CDM,74,72,55,78,73,73
1615,Gustavo Gomez,16,33,CB,63,61,49,81,83,58
1616,Damian Bobadilla,16,24,CM,69,72,68,67,73,71
1617,Kaku,16,31,CAM,68,77,72,42,58,76
1618,Alex Arce,16,31,ST,71,58,75,34,77,66
1619,Julio Enciso,16,22,CAM,82,75,76,37,61,81
1620,Braian Ojeda,16,25,CM,71,70,63,68,70,72
1621,Gabriel Avalos,16,35,ST,52,56,73,38,81,60
1623,Matias Galarza,16,24,CM,70,69,64,66,68,70
1624,Gustavo Caballero,16,24,RW,80,66,67,38,63,73
1625,Isidro Pitta,16,26,ST,72,60,72,35,76,67
1626,Alexandro Maidana,16,21,CB,65,54,34,64,66,52
1702,Antonio Rudiger,17,33,CB,82,71,53,86,84,69
1703,Waldemar Anton,17,29,CB,74,72,50,81,82,67
1704,Jonathan Tah,17,30,CB,78,70,42,85,85,63
1705,Aleksandar Pavlovic,17,22,CDM,68,79,65,75,73,76
1706,Joshua Kimmich,17,31,RB,70,88,72,81,77,82
1707,Kai Havertz,17,27,ST,81,81,80,48,77,83
1708,Leon Goretzka,17,31,CM,74,80,81,79,83,78
1709,Jamie Leweling,17,25,RW,85,71,73,46,76,78
1710,Jamal Musiala,17,23,CAM,84,83,82,42,64,90
1711,Nick Woltemade,17,24,ST,68,72,70,38,75,75
1713,Pascal Gross,17,35,CM,54,85,76,75,71,77
1714,Maximilian Beier,17,23,ST,89,70,79,35,68,79
1715,Nico Schlotterbeck,17,26,CB,77,76,55,83,82,71
1716,Angelo Stiller,17,25,CDM,66,81,68,76,74,77
1717,Florian Wirtz,17,23,CAM,81,87,83,50,66,89
1718,Nathaniel Brown,17,23,LB,79,69,51,69,67,72
1719,Leroy Sane,17,30,RM,89,79,81,38,70,85
1720,Nadiem Amiri,17,29,CAM,74,78,73,54,68,78
1722,David Raum,17,28,LB,84,80,63,74,77,76
1723,Felix Nmecha,17,25,CM,73,75,72,70,78,77
1724,Malick Thiaw,17,24,CB,75,66,44,79,78,66
1725,Assan Ouedraogo,17,20,CAM,77,70,68,46,67,78
1726,Deniz Undav,17,29,ST,69,75,81,42,78,77
1802,Shurandy Sambo,18,24,RB,79,68,54,71,69,72
1803,Jurien Gaari,18,32,CB,68,62,41,69,74,62
1804,Roshon van Eijma,18,28,CB,63,55,38,68,73,53
1805,Sherel Floranus,18,27,LB,75,66,51,70,71,69
1806,Godfried Roemeratoe,18,26,CDM,66,69,55,71,73,68
1807,Juninho Bacuna,18,28,CM,74,75,72,66,74,76
1808,Livano Comenencia,18,22,RB,76,68,55,67,69,72
1809,Jurgen Locadia,18,32,ST,68,67,73,36,75,70
1810,Leandro Bacuna,18,34,CM,66,72,69,69,75,70
1811,Jeremy Antonisse,18,24,LW,78,65,64,32,58,73
1812,Sontje Hansen,18,24,RW,81,69,68,35,60,77
1813,Tyrese Noslin,18,26,ST,84,68,75,38,72,77
1814,Kenji Gorre,18,31,LW,74,67,67,36,63,73
1815,Arjany Martha,18,22,LB,79,67,61,64,61,74
1816,Jearl Margaritha,18,26,LW,77,63,65,31,62,72
1817,Brandley Kuwas,18,33,RW,70,72,70,38,63,73
1818,Armando Obispo,18,27,CB,66,64,44,74,76,61
1819,Gervane Kastaneer,18,30,RW,72,64,66,39,76,69
1820,Joshua Brenet,18,32,RB,75,69,63,71,70,73
1821,Tahith Chong,18,26,CAM,79,73,71,46,67,76
1822,Kevin Felida,18,26,CDM,64,66,56,67,69,66
1823,Riechedly Bazoer,18,29,CB,68,76,69,75,76,75
1824,Deveron Fonville,18,23,CB,64,52,32,62,64,53
1902,Ousmane Diomande,19,22,CB,75,68,41,81,83,67
1903,Ghislain Konan,19,30,LB,81,73,58,74,77,75
1904,Jean Michael Seri,19,34,CM,62,81,69,70,66,76
1905,Wilfried Singo,19,25,CB,82,68,52,79,82,72
1906,Seko Fofana,19,31,CM,78,77,78,74,84,80
1907,Odilon Kossounou,19,25,CB,79,66,43,80,81,69
1908,Franck Kessie,19,29,CDM,70,76,74,80,86,76
1909,Ange-Yoan Bonny,19,22,ST,74,68,73,34,77,75
1910,Simon Adingra,19,24,LW,87,73,74,42,66,82
1911,Yan Diomande,19,24,ST,72,58,68,31,73,65
1912,Elye Wahi,19,23,ST,86,66,77,32,71,78
1913,Christopher Operi,19,29,LB,77,74,62,72,74,73
1914,Oumar Diakite,19,22,ST,83,62,72,35,79,74
1915,Amad Diallo,19,23,RW,80,76,73,45,61,82
1917,Guela Doue,19,23,RB,76,69,54,72,75,72
1918,Ibrahim Sangare,19,28,CDM,64,74,66,79,84,73
1919,Nicolas Pepe,19,31,RW,79,73,76,38,65,79
1920,Emmanuel Agbadou,19,29,CB,72,64,55,77,83,61
1921,Evan Ndicka,19,26,CB,72,69,50,81,81,66
1922,Evann Guessand,19,25,ST,79,67,74,38,80,75
1924,Bazoumana Toure,19,20,LW,84,65,68,33,62,76
1925,Parfait Guiagon,19,25,CAM,79,71,69,45,61,78
1926,Christ Inao Oulai,19,21,CDM,64,65,52,66,72,63
2002,Felix Torres,20,29,CB,71,61,48,78,80,59
2003,Piero Hincapie,20,24,CB,79,74,45,82,78,75
2004,Joel Ordonez,20,22,CB,76,62,35,74,76,64
2005,Jordy Alcivar,20,26,CM,66,72,66,66,69,70
2006,Willian Pacho,20,24,CB,78,69,42,83,82,67
